,Fecha,tipo de tienda,El microretailer has a barred window,Store devices,acepto la encuesta,cambio espacio tienda,cambio promedio salario,Registro inventario,registros ventas,id impuesto,canales ventas,metodo pago,relacion clientes,organizado productos,internet conexión,credito clientes,planificacion ventas,pedidos proveedores,empleados permanentes,empleados permanentes el año pasado
0,"November 12, 2022",tailor,yes,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Redes sociales,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,no,Software especializado,Desconocido,2.0,2.0
1,"November 12, 2022",grocery store (aka. nanostore),no,dataphone (i.e. card payments),yes,Aumentó 15%,No cambió,No lo hago,No lo hago,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Aplicación móvil,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,no,Desconocido,Desconocido,1.0,1.0
2,"November 12, 2022",grocery store (aka. nanostore),yes,dataphone (i.e. card payments),yes,No cambió,No cambió,En Excel,Software especializado + computadora,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Redes sociales,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,yes,Desconocido,Desconocido,2.0,2.0
3,"November 12, 2022",grocery store (aka. nanostore),no,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Teléfono,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,no,Ninguna,Desconocido,1.0,1.0
4,"November 12, 2022",grocery store (aka. nanostore),yes,smartphone,yes,No cambió,No cambió,En papel,En papel,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Desconocido,Venta cruzada (e.g. cereal + leche),yes,yes,Desconocido,Desconocido,0.0,0.0
5,"November 12, 2022",cafeteria,no,dataphone (i.e. card payments),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,Desconocido,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Precio,yes,no,Desconocido,Desconocido,1.0,1.0
6,"November 12, 2022",technology store,yes,smartphone,yes,No cambió,No cambió,En Excel,No lo hago,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Redes sociales,Frecuencia de venta,yes,yes,Desconocido,Desconocido,2.0,2.0
7,"November 12, 2022",grocery store (aka. nanostore),yes,dataphone (i.e. card payments),yes,Aumentó 50% o más,No cambió,"En Excel,En papel",En papel,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,yes,Software especializado,Desconocido,0.0,0.0
8,"November 12, 2022",retailer store,yes,dataphone (i.e. card payments),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,yes,Desconocido,Desconocido,1.0,1.0
9,"November 12, 2022",grocery store (aka. nanostore),yes,smartphone,yes,Aumentó 25%,No cambió,No lo hago,No lo hago,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Desconocido,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,yes,Ninguna,Desconocido,1.0,1.0
